"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTM3004US / 1335.8794k04",
"Serial No.","112081",
"Firmware Version","01.700",
"Date","2023-11-23",
"Time","01:10:02",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Period",,"Frequency",,"Duty Cycle +",,"Mean Value",,
"Source 1",,"C1",,"C1",,"C1",,"C1",,
"Source 2",,,,,,,,,,
"Unit",,s,,Hz,,%,,V,,
"Gate Start [s]",,-2.794380e-03,,,,,,,,
"Gate Stop [s]",,2.706180e-03,,,,,,,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,31041,,31040,,31040,,31039,,
"Current",,4.007117e-03,,2.495525e+02,,5.000983e+01,,1.511136e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,3.239000e-06,,2.495100e+02,,4.997646e+01,,2.970000e-03,,
"Max",,4.007907e-03,,4.983775e+02,,5.005492e+01,,2.993301e+00,,
"Mean",,2.455311e-03,,4.197786e+02,,5.001307e+01,,2.040889e+00,,
"StdDev",,6.935038e-04,,8.959713e+01,,4.918342e-03,,7.722950e-01,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,3.239000e-06,,2.461464e+02,,4.952941e+01,,-5.130000e-04,,
"Long term Max",,4.062417e-03,,5.599965e+02,,5.050471e+01,,2.993733e+00,,
"Long term Mean",,2.474043e-03,,4.206418e+02,,5.003543e+01,,1.628451e+00,,
"Long term StdDev",,6.276084e-04,,7.223641e+01,,5.431027e-02,,3.572073e-01,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.992572e+00,
2,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.987793e+00,
3,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.990682e+00,
4,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.993004e+00,
5,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.989224e+00,
6,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.987847e+00,
7,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.988333e+00,
8,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.991141e+00,
9,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.991600e+00,
10,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.989548e+00,
11,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.990493e+00,
12,,5.695900e-05,,1.600000e+308,,1.600000e+308,,2.993301e+00,
13,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.989683e+00,
14,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.988414e+00,
15,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.987658e+00,
16,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.988900e+00,
17,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.990196e+00,
18,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.989575e+00,
19,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.986605e+00,
20,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.986254e+00,
21,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.990169e+00,
22,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.988387e+00,
23,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.986659e+00,
24,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.987604e+00,
25,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.989548e+00,
26,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.990034e+00,
27,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.986605e+00,
28,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.989521e+00,
29,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.986929e+00,
30,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.987064e+00,
31,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.986902e+00,
32,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.989845e+00,
33,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.988576e+00,
34,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.989818e+00,
35,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.987982e+00,
36,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.988846e+00,
37,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.987874e+00,
38,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.987199e+00,
39,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.987820e+00,
40,,2.824250e-04,,1.600000e+308,,1.600000e+308,,2.986713e+00,
41,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.986335e+00,
42,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.986686e+00,
43,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.985336e+00,
44,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.985849e+00,
45,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.982825e+00,
46,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.987172e+00,
47,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.986308e+00,
48,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.987523e+00,
49,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.985012e+00,
50,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.988360e+00,
51,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.983986e+00,
52,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.986389e+00,
53,,1.600000e+308,,1.600000e+308,,1.600000e+308,,2.986416e+00,
