"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTM3004US / 1335.8794k04",
"Serial No.","112081",
"Firmware Version","01.700",
"Date","2023-11-23",
"Time","01:02:21",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Period",,"Frequency",,"Duty Cycle +",,"Mean Value",,
"Source 1",,"C1",,"C1",,"C1",,"C1",,
"Source 2",,,,,,,,,,
"Unit",,s,,Hz,,%,,V,,
"Gate Start [s]",,-2.794380e-03,,,,,,,,
"Gate Stop [s]",,2.706180e-03,,,,,,,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,25855,,25854,,25854,,25853,,
"Current",,2.057160e-03,,4.849366e+02,,5.001532e+01,,1.500012e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,3.689300e-05,,2.494166e+02,,4.952941e+01,,3.888000e-03,,
"Max",,4.010040e-03,,4.856220e+02,,5.050471e+01,,1.513323e+00,,
"Mean",,3.358526e-03,,3.275651e+02,,5.001620e+01,,1.496308e+00,,
"StdDev",,9.208034e-04,,1.105728e+02,,1.721499e-01,,1.058162e-01,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,2.646500e-05,,2.494175e+02,,4.952941e+01,,-5.130000e-04,,
"Long term Max",,4.010040e-03,,5.599965e+02,,5.050471e+01,,1.685124e+00,,
"Long term Mean",,2.340217e-03,,4.363643e+02,,5.003872e+01,,1.553418e+00,,
"Long term StdDev",,4.181383e-04,,5.169896e+01,,5.007005e-02,,1.134626e-01,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,4.008539e-03,,2.494725e+02,,5.000885e+01,,1.508193e+00,
2,,4.007907e-03,,2.495025e+02,,5.000885e+01,,1.506087e+00,
3,,4.007907e-03,,2.495000e+02,,5.000786e+01,,1.507977e+00,
4,,4.007828e-03,,2.495050e+02,,5.000786e+01,,1.506600e+00,
5,,4.008302e-03,,2.494850e+02,,5.001180e+01,,1.508706e+00,
6,,4.007591e-03,,2.495375e+02,,5.001180e+01,,1.508841e+00,
7,,4.008065e-03,,2.494950e+02,,5.000885e+01,,1.504008e+00,
8,,4.007828e-03,,2.495175e+02,,5.000786e+01,,1.509030e+00,
9,,4.007749e-03,,2.495150e+02,,5.000786e+01,,1.507221e+00,
10,,4.007433e-03,,2.495400e+02,,5.001082e+01,,1.505547e+00,
11,,4.007433e-03,,2.495350e+02,,5.000983e+01,,1.505790e+00,
12,,4.007591e-03,,2.495325e+02,,5.000688e+01,,1.505115e+00,
13,,4.007354e-03,,2.495400e+02,,5.000688e+01,,1.506546e+00,
14,,4.007433e-03,,2.495350e+02,,5.000983e+01,,1.508490e+00,
15,,4.007275e-03,,2.495525e+02,,5.000885e+01,,1.506330e+00,
16,,4.007512e-03,,2.495250e+02,,5.000688e+01,,1.506573e+00,
17,,4.007670e-03,,2.495250e+02,,5.000983e+01,,1.507194e+00,
18,,4.007670e-03,,2.495175e+02,,5.000787e+01,,1.507680e+00,
19,,4.007670e-03,,2.495175e+02,,5.000786e+01,,1.513323e+00,
20,,4.007749e-03,,2.495125e+02,,5.000786e+01,,1.509381e+00,
21,,4.007749e-03,,2.495150e+02,,5.000885e+01,,1.506816e+00,
22,,4.008065e-03,,2.495000e+02,,5.000786e+01,,1.507572e+00,
23,,4.008381e-03,,2.494725e+02,,5.000491e+01,,1.507167e+00,
24,,4.008697e-03,,2.494525e+02,,5.000885e+01,,1.507329e+00,
25,,4.008223e-03,,2.494825e+02,,5.000491e+01,,1.505736e+00,
26,,4.008302e-03,,2.494850e+02,,5.000786e+01,,1.503306e+00,
27,,4.008065e-03,,2.494925e+02,,5.000491e+01,,1.508949e+00,
28,,4.008223e-03,,2.494800e+02,,5.001180e+01,,1.509030e+00,
29,,4.008144e-03,,2.494850e+02,,5.000688e+01,,1.506249e+00,
30,,4.007986e-03,,2.494900e+02,,5.000393e+01,,1.507113e+00,
31,,4.007986e-03,,2.494950e+02,,5.000885e+01,,1.507734e+00,
32,,4.008302e-03,,2.494850e+02,,5.000885e+01,,1.506195e+00,
33,,4.008460e-03,,2.494725e+02,,5.000885e+01,,1.507788e+00,
34,,4.008302e-03,,2.494775e+02,,5.000590e+01,,1.506843e+00,
35,,4.008460e-03,,2.494750e+02,,5.000786e+01,,1.506735e+00,
36,,4.008144e-03,,2.494825e+02,,5.000590e+01,,1.508706e+00,
37,,4.008302e-03,,2.494775e+02,,5.000786e+01,,1.502847e+00,
38,,4.008302e-03,,2.494825e+02,,5.001081e+01,,1.503873e+00,
39,,4.007986e-03,,2.494950e+02,,5.000688e+01,,1.507950e+00,
40,,4.007907e-03,,2.495000e+02,,5.000885e+01,,1.505115e+00,
41,,4.008618e-03,,2.494675e+02,,5.000688e+01,,1.505952e+00,
42,,4.007828e-03,,2.495075e+02,,5.000688e+01,,1.508004e+00,
43,,4.007986e-03,,2.495100e+02,,5.000885e+01,,1.507869e+00,
44,,4.008381e-03,,2.494750e+02,,5.000786e+01,,1.508841e+00,
45,,4.008144e-03,,2.494850e+02,,5.000885e+01,,1.506924e+00,
46,,4.008302e-03,,2.494725e+02,,5.000590e+01,,1.507572e+00,
47,,4.007986e-03,,2.494950e+02,,5.000688e+01,,1.506978e+00,
48,,4.008065e-03,,2.494825e+02,,5.000295e+01,,1.505034e+00,
49,,4.008539e-03,,2.494775e+02,,5.001081e+01,,1.503387e+00,
50,,4.007907e-03,,2.495050e+02,,5.001180e+01,,1.503846e+00,
51,,4.007907e-03,,2.495050e+02,,5.000983e+01,,1.507248e+00,
52,,4.007670e-03,,2.495150e+02,,5.000885e+01,,1.507842e+00,
53,,4.008144e-03,,2.494950e+02,,5.001180e+01,,1.509381e+00,
54,,4.008302e-03,,2.494875e+02,,5.000688e+01,,1.506897e+00,
55,,4.008223e-03,,2.494875e+02,,5.000688e+01,,1.506735e+00,
56,,4.007907e-03,,2.495000e+02,,5.000492e+01,,1.506438e+00,
57,,4.007986e-03,,2.495075e+02,,5.001081e+01,,1.508058e+00,
58,,4.008302e-03,,2.494775e+02,,5.000885e+01,,1.504926e+00,
59,,4.008302e-03,,2.494875e+02,,5.000983e+01,,1.508679e+00,
60,,4.007907e-03,,2.495125e+02,,5.001180e+01,,1.504143e+00,
61,,4.007591e-03,,2.495225e+02,,5.000787e+01,,1.504980e+00,
62,,4.007986e-03,,2.495050e+02,,5.000983e+01,,1.508193e+00,
63,,4.008223e-03,,2.494950e+02,,5.001081e+01,,1.507140e+00,
64,,4.008144e-03,,2.494875e+02,,5.000786e+01,,1.506141e+00,
65,,4.007907e-03,,2.494850e+02,,5.000491e+01,,1.505709e+00,
66,,4.008223e-03,,2.494850e+02,,5.000983e+01,,1.505979e+00,
67,,4.008144e-03,,2.494950e+02,,5.000983e+01,,1.505547e+00,
68,,4.008302e-03,,2.494950e+02,,5.001180e+01,,1.507032e+00,
69,,4.008539e-03,,2.494725e+02,,5.000983e+01,,1.504305e+00,
70,,4.008302e-03,,2.494750e+02,,5.000885e+01,,1.504413e+00,
71,,4.008223e-03,,2.494875e+02,,5.001081e+01,,1.507815e+00,
72,,4.008460e-03,,2.494825e+02,,5.001278e+01,,1.505439e+00,
73,,4.008223e-03,,2.494800e+02,,5.000688e+01,,1.507059e+00,
74,,4.008539e-03,,2.494625e+02,,5.000688e+01,,1.506897e+00,
75,,4.008776e-03,,2.494475e+02,,5.000688e+01,,1.505520e+00,
76,,4.008144e-03,,2.494775e+02,,5.000393e+01,,1.507383e+00,
77,,4.008302e-03,,2.494750e+02,,5.000786e+01,,1.508463e+00,
78,,4.008065e-03,,2.494900e+02,,5.000688e+01,,1.508058e+00,
79,,4.008539e-03,,2.494675e+02,,5.000885e+01,,1.510812e+00,
80,,4.008934e-03,,2.494450e+02,,5.001081e+01,,1.512000e+00,
81,,4.007907e-03,,2.494900e+02,,5.000491e+01,,1.509489e+00,
82,,4.008223e-03,,2.494900e+02,,5.000590e+01,,1.510920e+00,
83,,4.008144e-03,,2.494850e+02,,5.000491e+01,,1.510245e+00,
84,,4.008618e-03,,2.494600e+02,,5.000590e+01,,1.509894e+00,
85,,4.008697e-03,,2.494575e+02,,5.000786e+01,,1.509705e+00,
86,,4.008223e-03,,2.494850e+02,,5.000983e+01,,1.510407e+00,
87,,4.008539e-03,,2.494725e+02,,5.000786e+01,,1.506951e+00,
88,,4.008697e-03,,2.494650e+02,,5.000688e+01,,1.507005e+00,
89,,4.008460e-03,,2.494725e+02,,5.000786e+01,,1.508112e+00,
90,,4.008776e-03,,2.494625e+02,,5.001376e+01,,1.508706e+00,
91,,4.008460e-03,,2.494625e+02,,5.000688e+01,,1.506384e+00,
92,,4.008539e-03,,2.494650e+02,,5.000885e+01,,1.511433e+00,
93,,4.008381e-03,,2.494750e+02,,5.000983e+01,,1.512216e+00,
94,,4.008697e-03,,2.494500e+02,,5.000885e+01,,1.510839e+00,
95,,4.008065e-03,,2.494925e+02,,5.000688e+01,,1.509246e+00,
96,,4.008539e-03,,2.494675e+02,,5.000590e+01,,1.510245e+00,
97,,4.008223e-03,,2.494900e+02,,5.000688e+01,,1.510947e+00,
98,,4.008144e-03,,2.494900e+02,,5.000983e+01,,1.508382e+00,
99,,4.008697e-03,,2.494675e+02,,5.000983e+01,,1.506357e+00,
100,,4.008539e-03,,2.494575e+02,,5.000491e+01,,1.508787e+00,
101,,4.008539e-03,,2.494750e+02,,5.000983e+01,,1.507410e+00,
102,,4.008539e-03,,2.494675e+02,,5.000688e+01,,1.509300e+00,
103,,4.008144e-03,,2.494800e+02,,5.000393e+01,,1.507005e+00,
104,,4.007591e-03,,2.495150e+02,,5.000492e+01,,1.507896e+00,
105,,4.008460e-03,,2.494750e+02,,5.000983e+01,,1.508544e+00,
106,,4.007907e-03,,2.494975e+02,,5.000786e+01,,1.508382e+00,
107,,4.008381e-03,,2.494775e+02,,5.000786e+01,,1.508598e+00,
108,,4.008460e-03,,2.494725e+02,,5.000786e+01,,1.510623e+00,
109,,4.008460e-03,,2.494725e+02,,5.000885e+01,,1.510812e+00,
110,,4.008302e-03,,2.494775e+02,,5.000786e+01,,1.510731e+00,
111,,4.008302e-03,,2.494950e+02,,5.001278e+01,,1.508382e+00,
112,,4.008381e-03,,2.494725e+02,,5.000491e+01,,1.508922e+00,
113,,4.007907e-03,,2.495075e+02,,5.001081e+01,,1.507491e+00,
114,,4.008144e-03,,2.494900e+02,,5.000885e+01,,1.509327e+00,
115,,4.008539e-03,,2.494675e+02,,5.000885e+01,,1.508814e+00,
116,,4.008302e-03,,2.494725e+02,,5.000786e+01,,1.504872e+00,
117,,4.008381e-03,,2.494925e+02,,5.001278e+01,,1.507383e+00,
118,,4.008381e-03,,2.494775e+02,,5.001081e+01,,1.505682e+00,
119,,4.008381e-03,,2.494750e+02,,5.000885e+01,,1.506627e+00,
120,,4.008302e-03,,2.494750e+02,,5.000983e+01,,1.506708e+00,
121,,4.007986e-03,,2.494925e+02,,5.000786e+01,,1.508085e+00,
122,,4.008776e-03,,2.494575e+02,,5.000885e+01,,1.506870e+00,
123,,4.008223e-03,,2.494900e+02,,5.000786e+01,,1.505925e+00,
124,,4.008381e-03,,2.494775e+02,,5.000885e+01,,1.507437e+00,
125,,4.008460e-03,,2.494725e+02,,5.000983e+01,,1.507383e+00,
126,,4.008144e-03,,2.494925e+02,,5.000885e+01,,1.506654e+00,
127,,4.008460e-03,,2.494750e+02,,5.000786e+01,,1.506465e+00,
128,,4.008302e-03,,2.494725e+02,,5.000590e+01,,1.506627e+00,
129,,4.007907e-03,,2.495025e+02,,5.000492e+01,,1.509327e+00,
130,,4.007907e-03,,2.495025e+02,,5.000688e+01,,1.507923e+00,
131,,4.007986e-03,,2.495000e+02,,5.000688e+01,,1.508544e+00,
132,,4.007907e-03,,2.495100e+02,,5.001081e+01,,1.506735e+00,
133,,4.007670e-03,,2.495075e+02,,5.000688e+01,,1.508733e+00,
134,,4.007591e-03,,2.495175e+02,,5.000688e+01,,1.509651e+00,
