"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTM3004US / 1335.8794k04",
"Serial No.","112081",
"Firmware Version","01.700",
"Date","2023-11-23",
"Time","00:58:37",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Period",,"Frequency",,"Duty Cycle +",,"Mean Value",,
"Source 1",,"C1",,"C1",,"C1",,"C1",,
"Source 2",,,,,,,,,,
"Unit",,s,,Hz,,%,,V,,
"Gate Start [s]",,-2.794380e-03,,,,,,,,
"Gate Stop [s]",,2.706180e-03,,,,,,,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,23344,,23343,,23343,,23343,,
"Current",,3.009031e-03,,3.323400e+02,,5.001178e+01,,1.489347e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,2.202125e-03,,3.315744e+02,,4.998429e+01,,3.456000e-03,,
"Max",,3.027833e-03,,4.540820e+02,,5.032792e+01,,1.597941e+00,,
"Mean",,2.937881e-03,,3.430398e+02,,5.001177e+01,,1.477000e+00,,
"StdDev",,2.276731e-04,,3.435794e+01,,1.058960e-02,,1.146142e-01,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,5.774900e-05,,3.315744e+02,,4.998429e+01,,-5.130000e-04,,
"Long term Max",,3.027833e-03,,5.599965e+02,,5.032792e+01,,1.685124e+00,,
"Long term Mean",,2.233172e-03,,4.494272e+02,,5.004151e+01,,1.560060e+00,,
"Long term StdDev",,1.580419e-04,,2.389939e+01,,3.760165e-02,,1.133409e-01,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,2.202599e-03,,4.540176e+02,,5.001431e+01,,1.484892e+00,
2,,2.202678e-03,,4.539930e+02,,5.001789e+01,,1.487241e+00,
3,,2.202520e-03,,4.540217e+02,,5.001252e+01,,1.490103e+00,
4,,2.202915e-03,,4.539397e+02,,5.000894e+01,,1.489347e+00,
5,,2.202836e-03,,4.539643e+02,,5.001252e+01,,1.506978e+00,
6,,2.202520e-03,,4.540053e+02,,5.000715e+01,,1.506303e+00,
7,,2.202757e-03,,4.539807e+02,,5.000715e+01,,1.510083e+00,
8,,2.202757e-03,,4.539684e+02,,5.001431e+01,,1.511001e+00,
9,,2.202915e-03,,4.539479e+02,,5.000894e+01,,1.509462e+00,
10,,2.202678e-03,,4.539971e+02,,5.001073e+01,,1.509975e+00,
11,,2.202678e-03,,4.539848e+02,,5.001431e+01,,1.509759e+00,
12,,2.202915e-03,,4.539602e+02,,5.001073e+01,,1.506492e+00,
13,,2.202678e-03,,4.540053e+02,,5.002325e+01,,1.504953e+00,
14,,2.202994e-03,,4.539602e+02,,5.001610e+01,,1.506087e+00,
15,,2.202757e-03,,4.539807e+02,,5.001431e+01,,1.508004e+00,
16,,2.202362e-03,,4.540504e+02,,5.001610e+01,,1.507464e+00,
17,,2.202678e-03,,4.539971e+02,,5.001431e+01,,1.504575e+00,
18,,2.202836e-03,,4.539479e+02,,5.002146e+01,,1.505655e+00,
19,,2.202678e-03,,4.540094e+02,,5.000716e+01,,1.507059e+00,
20,,2.202678e-03,,4.539889e+02,,5.001968e+01,,1.507518e+00,
21,,2.202915e-03,,4.539397e+02,,5.001610e+01,,1.505817e+00,
22,,2.202757e-03,,4.539848e+02,,5.000894e+01,,1.508868e+00,
23,,2.202678e-03,,4.539930e+02,,5.001610e+01,,1.506600e+00,
24,,2.202757e-03,,4.539807e+02,,5.000716e+01,,1.507140e+00,
25,,2.203073e-03,,4.539356e+02,,5.001252e+01,,1.505196e+00,
